Date,Close,Contract,Year,ContractSymbol,ContractSymbol1
2015-01-22,18.8,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-22,19.1,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-22,19.35,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-22,19.45,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-22,19.65,CFE_VX_U5,2015,VX/U5,VX/U5_2015
2015-01-23,18.35,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-23,18.53,CFE_VX_H5,2015,VX/H5,VX/H5_2015
2015-01-23,18.9,CFE_VX_J5,2015,VX/J5,VX/J5_2015
2015-01-23,19.1,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-23,19.36,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-23,19.6,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-23,19.75,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-23,19.98,CFE_VX_U5,2015,VX/U5,VX/U5_2015
2015-01-26,17.23,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-26,17.63,CFE_VX_H5,2015,VX/H5,VX/H5_2015
2015-01-26,18.16,CFE_VX_J5,2015,VX/J5,VX/J5_2015
2015-01-26,18.5,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-26,18.9,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-26,19.2,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-26,19.4,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-26,19.55,CFE_VX_U5,2015,VX/U5,VX/U5_2015
2015-01-26,0.0,CFE_VX_V5,2015,VX/V5,VX/V5_2015
2015-01-27,17.85,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-27,18.05,CFE_VX_H5,2015,VX/H5,VX/H5_2015
2015-01-27,18.5,CFE_VX_J5,2015,VX/J5,VX/J5_2015
2015-01-27,18.85,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-27,19.15,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-27,19.45,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-27,19.6,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-27,19.79,CFE_VX_U5,2015,VX/U5,VX/U5_2015
2015-01-27,0.0,CFE_VX_V5,2015,VX/V5,VX/V5_2015
2015-01-28,20.5,CFE_VX_G5,2015,VX/G5,VX/G5_2015
